centre_id,centre_name,original_address,district,taluk,geocoding_query,latitude,longitude,status,confidence,provider,provider_result,validation_reason,unresolved_category,geocoded_at
tc-067,"Sai Industrial Training Institute, Dharwad",Near Basava Colony Opp. Agriculture Colony University,Dharwad (Hubballi-Dharwad),,"Sai Dharwad, Dharwad, Karnataka, India",15.3629,75.121709,SUCCESS,HIGH,osm-nominatim,"State Bank of India, Shri Gangaram. M. Navale Road, Sai Nagar, Sirur Park, Hubballi, Hubballi Urban Taluku, Dharwad, Karnataka, 580020, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['dharwad'] (+8); Plausible POI (amenity/atm) (+5),,2026-09-06T06:19:35.475065+00:00
tc-068,"SNVVS Private ITI, Samping Nagar Dharwad",Adichunchanagiri Mutt Samping Nagar,Dharwad (Hubballi-Dharwad),,"Adichunchanagiri Mutt Samping Nagar, Dharwad, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-069,Vijayanagara Industrial Training Institute,Kamalapura Hospet Tq. Bellary Dt.,Ballari,,"Vijayanagara, Ballari, Karnataka, India",,,AMBIGUOUS,AMBIGUOUS,osm-nominatim,"Vijayanagara Sri Krishnadevaraya University, VSK University Road, Cantonment, Ballari, Bellary taluk, Ballari, Karnataka, 583275, India",Multiple distant candidates (>25km) in PASS_6_NAME_DIST,AMBIGUOUS,
tc-070,TMAE Societys Sri Thimmaiah Shetty ITI Hagaribommanahalli,Kadalabalu Road Ramanagara Hagaribommanahalli,Ballari,,"Kadalabalu Road Ramanagara Hagaribommanahalli, Ballari, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-071,"Sree Jagadguru Kotturswamy ITI, Siruguppa","Bellary Road, Siruguppa",Ballari,,"Bellary Road, Ballari, Karnataka, India",15.067383,77.035399,SUCCESS,HIGH,osm-nominatim,"Bellary Road, Kammarachedu, Bellary taluk, Ballari, Karnataka, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['bellary'] (+8); Plausible POI (highway/primary) (+5),,2026-09-06T06:19:35.475933+00:00
tc-072,S.P.G.U Education Society ITI,Kuduthini,Ballari,,"Kuduthini, Ballari, Karnataka, India",15.198551,76.759428,SUCCESS,HIGH,osm-nominatim,"Kuduthini PHC, NH67, Kudatini, Bellary taluk, Ballari, Karnataka, 583115, India",High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['kuduthini'] (+8),,2026-09-06T06:19:35.476105+00:00
tc-073,Yerriswamy Education Trust ITC,"Mullangi Sanjeevappa Street, Bellary",Ballari,,"Mullangi Sanjeevappa Street, Ballari, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-074,Neelamma Basaveshwara Industrial Training Centre Bellary,"Mullangi Sanjeevappa Street, Bellary",Ballari,,"Mullangi Sanjeevappa Street, Ballari, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-075,"Sri Gurukottureshwara Rural ITI, Emmiganur",Emmiganur,Ballari,,"Emmiganur, Ballari, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-076,"Srikari I.T.C., Ranipet, Hospet, Bellary",Hospet,Ballari,,"Hospet, Ballari, Karnataka, India",15.273652,76.385619,SUCCESS,HIGH,osm-nominatim,"K.L.S Hospital - Hospet, Bellary - Hubli Road, Amaravati, Hosapete, Hosapete taluk, Ballari, Karnataka, 583201, India","High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['bellary', 'hospet'] (+8)",,2026-09-06T06:19:35.476697+00:00
tc-077,T M A E S Industrial Training Institute Hospet,Bellary Road Hospet,Ballari,,"Bellary Road Hospet, Karnataka, India",15.268583,76.404893,SUCCESS,HIGH,osm-nominatim,"Bellary Bypass Road, Anantashayanagudi, Hosapete, Hosapete taluk, Vijayanagara, Karnataka, 583200, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['bellary'] (+8); Plausible POI (highway/tertiary) (+5),,2026-09-06T06:19:35.476947+00:00
tc-078,Vishweshwaraiya Private ITI Hosapete,"Sandur Road, Hosapete",Ballari,,"Sandur Road, Ballari, Karnataka, India",14.982649,76.518232,SUCCESS,HIGH,osm-nominatim,"Bommaghatta Sandur Road, Ankammanahalu, Sanduru taluk, Ballari, Karnataka, 583119, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['sandur'] (+8); Plausible POI (highway/tertiary) (+5),,2026-09-06T06:19:35.477140+00:00
tc-079,Dr. B.R. Ambedkar Industrial Training Institute Hospet,Anantha Shayana Gudi Hospet,Ballari,,"Anantha Shayana Gudi Hospet, Ballari, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-080,"Jagadguru Kotturswamy ITI, Bellary","Ganesh Gudi Beedi, Bellary",Ballari,,"Ganesh Gudi Beedi, Ballari, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-081,Sri Hanumanthappa ITI Mariyammanahalli,"Mariyammanahalli, Hospet TQ.",Ballari,,"Mariyammanahalli, Hospet, Karnataka, India",15.161115,76.358454,SUCCESS,HIGH,osm-nominatim,"Primary Health Centre, Mariyammanahalli, Hosapete - Harihara Road, Mariyammanahalli, Hosapete taluk, Vijayanagara, Karnataka, 583222, India",High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['mariyammanahalli'] (+8),,2026-09-06T06:19:35.477604+00:00
tc-082,Sri Bharath Industrial Training Centre,Hosa Daroji Post Tq. Sandur,Ballari,,"Hosa Daroji Post . Sandur, Ballari, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-083,"Shri Kumar Swamy ITI Sandur, Bellary","Sandur, Sandur (T)",Ballari,,"Sandur, Ballari, Karnataka, India",15.083275,76.543411,SUCCESS,HIGH,osm-nominatim,"Sanduru, Sanduru taluk, Ballari, Karnataka, 583119, India",High confidence match (Score 75.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Plausible POI (place/town) (+5),,2026-09-06T06:19:35.477913+00:00
tc-084,"Sri Veerabadreshwara ITI, Shirur",Shirur,Bagalkot,,"Shirur, Bagalkot, Karnataka, India",16.158549,75.669537,SUCCESS,HIGH,osm-nominatim,"Shirur Memorial Hospital, SH57, Sulikeri, Bagalakote taluk, Bagalkote, Karnataka, 587103, India",High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['shirur'] (+8),,2026-09-06T06:19:35.478046+00:00
tc-085,"Shrimann Madhwacharya Private Industrial Training Institute, Bagalkot",Badami Road Near Old APMC Bagalkot,Bagalkot,,"Badami Road Old APMC Bagalkot, Bagalkot, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-086,Vishwa Bharti ITI Telasang,Tel Sang Athani T.Q,Belagavi,,"Tel Sang Athani T.Q, Belagavi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-087,"Komalanna Doddanannavar Bharatesh Pvt ITI, Belgaum",Basavan Kudachi Extension Belgaum,Belagavi,,"Basavan Kudachi Extension Belgaum, Belagavi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-088,Vidyaniketan Rural I.T.I. Manhalli,Manhalli Tq & Dist Bidar,Bidar,,"Manhalli & Bidar, Bidar, Karnataka, India",17.762798,77.504546,SUCCESS,HIGH,osm-nominatim,"Manhalli Primary Health Centre, SH122, Mannalli, Sindola, Bidar taluku, Bidar, Karnataka, 585403, India","High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['bidar', 'manhalli'] (+8)",,2026-09-06T06:19:35.478624+00:00
tc-089,Hind I.T.I. Mahadev Complex Udgir Road Shiv Nagar Bidar,"Near, Papnash Gate Mahadev Complex Udgir Road Bidar",Bidar,,"Papnash Gate Mahadev Complex Udgir Road Bidar, Bidar, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-090,Shri Sanganabasaveshwar Private industrial Training institute Lachyan,Post Lachyan Tq Indi,Vijayapura,,"Post Lachyan Indi, Vijayapura, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-091,"Karnataka ITI, Sindhagi",Sindhagi,Vijayapura,,"Sindhagi, Vijayapura, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-092,JSS Private Industrial Training Institute,"Main Road, Mariyala",Chamarajanagar,,"Main Road, Chamarajanagar, Karnataka, India",11.929324,76.942012,SUCCESS,HIGH,osm-nominatim,"1st Main Road, Chamarajanagara, Chamarajanagara taluk, Chamarajanagar, Karnataka, 571313, India",High confidence match (Score 75.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Plausible POI (highway/residential) (+5),,2026-09-06T06:19:35.479267+00:00
tc-093,Sri Vivekananda Industrial Training Institute,B R Hills Yalandur,Chamarajanagar,,"B R Hills Yalandur, Chamarajanagar, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-094,Sir M. Visveswaraiah Industrial Training Institute,C.V.V.Campus,Chikkaballapura,,"C.V.V.Campus, Chikkaballapura, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-095,S.R.S Industrial Training Centre Begepalli Town,Kotha Palli Road Bagepalli,Chikkaballapura,,"Kotha Palli Road Bagepalli, Chikkaballapura, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-096,Sri Jagadguru Renukacharya Institute of Technology,"Balehonnur, renuka nagar",Chikkamagaluru,,"Balehonnur, Chikkamagaluru, Karnataka, India",13.347882,75.46167,SUCCESS,HIGH,osm-nominatim,"Government Hospital, Balehonnur, SH27, Sigodu, Narasimharajapura taluk, Chikkamagaluru, Karnataka, 577112, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['balehonnur'] (+8); Plausible POI (amenity/hospital) (+5),,2026-09-06T06:19:35.479813+00:00
tc-097,Sri Dharmastala Manjunatheshwara ITI,"Via Kalasa Mudigere, SAMSE",Chikkamagaluru,,"Via Kalasa Mudigere, Chikkamagaluru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-098,"Azad Minorities Industrial Training Centre, Challakere","T.R.Nagar, challakere",Chitradurga,,"T.R.Nagar, Chitradurga, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-099,T M A E S Industrial Training Institute Hiriyur,Hiriyur,Chitradurga,,"Hiriyur, Chitradurga, Karnataka, India",13.944324,76.616741,SUCCESS,HIGH,osm-nominatim,"Hiriyur, Hiriyuru taluk, Chitradurga, Karnataka, 572143, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['hiriyur'] (+8); Plausible POI (/town) (+5),,2026-09-06T06:19:35.480221+00:00
tc-100,Seyyid Madani ITI,"Ombathukere, Ullal, Mangalore",Dakshina Kannada,,"Ombathukere, Mangaluru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-101,Sri Dharmasthala Manjunatheshwara ITI,"Venur, Belthangady Taluk",Dakshina Kannada,,"Sri Dharmasthala Manjunatheshwara, Mangaluru, Karnataka, India",12.883123,74.838915,SUCCESS,HIGH,osm-nominatim,"Sri Dharmasthala Manjunatheshwara Eye Hospital, Mahatma Gandhi Road, Ladyhill, Mangaluru, Mangaluru taluk, Dakshina Kannada, Karnataka, 575003, India","High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['dharmasthala', 'manjunatheshwara'] (+8); Plausible POI (amenity/hospital) (+5)",,2026-09-06T06:19:35.480560+00:00
tc-102,Sri Kolushanthehwara I.T.C,Arasikere Harapanahalli,Davanagere,,"Arasikere Harapanahalli, Karnataka, India",14.668824,76.071356,SUCCESS,HIGH,osm-nominatim,"CHC Arasikere, SH 47, Pavanapura, Arasikeri, Harapanahalli taluku, Vijayanagara, Karnataka, 583125, India","High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['arasikere', 'harapanahalli'] (+8)",,2026-09-06T06:19:35.480738+00:00
tc-103,Usmaniya Industrial Training Institute,Kerebilichi (POST) CHANNAGIRI TQ DAVANAGERE DIST,Davanagere,,"Kerebilichi POST CHANNAGIRI DAVANAGERE, Davanagere, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-104,"Sanjaya Grameena Vidya Samsthe Industrial Training IInstitute, Holealur","Holealur, Gadag Distt.",Gadag,,"Holealur, Gadag, Karnataka, India",15.824167,75.648115,SUCCESS,HIGH,osm-nominatim,"Holealur PHC, SH83, Hole Aluru, Rona taluku, Gadag, Karnataka, 582203, India","High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['holealur', 'gadag'] (+8)",,2026-09-06T06:19:35.481331+00:00
tc-105,Sri Jagadguru Tontadarya I T I Dambal,"DAMBAL, Tq: Mundargi, Dt;Gadag",Gadag,,"DAMBAL, Gadag, Karnataka, India",15.296009,75.777204,SUCCESS,HIGH,osm-nominatim,"Government Hospital, Dambal, SH45, Ashraya Badavane, Kadampura, Mundargi taluku, Gadag, Karnataka, 582113, India","High confidence match (Score 90.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Strong token overlap ['dambal', 'mundargi', 'gadag'] (+15); Plausible POI (amenity/hospital) (+5)",,2026-09-06T06:19:35.481557+00:00
tc-106,Sri Adichunchanagiri I.T.C Cannarayapattana,Channarayapattana,Hassan,,"Channarayapattana, Hassan, Karnataka, India",12.906877,76.389564,SUCCESS,HIGH,osm-nominatim,"Channarayapattana, Channarayapattana taluk, Hassan, Karnataka, 573116, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['channarayapattana'] (+8); Plausible POI (/town) (+5),,2026-09-06T06:19:35.481714+00:00
tc-107,Sri Rameshwara I.T.C Arasikere,"Arasikere, B.H Road",Hassan,,"Arasikere, Hassan, Karnataka, India",13.315981,76.256849,SUCCESS,HIGH,osm-nominatim,"Arasikere, Arasikere taluku, Hassan, Karnataka, 573103, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['arasikere'] (+8); Plausible POI (place/town) (+5),,2026-09-06T06:19:35.481874+00:00
tc-108,"TMAE Tonkada Veerappa Industrail Training Institute, Haveri","TMAE Tonk Veer I.T.C, Haveri",Haveri,,"TMAE Tonk Veer I.T.C, Haveri, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-109,"T M A E S Sri Maharshi Valmiki ITI for Women, Ranebennur",Ranebennur,Haveri,,"Ranebennur, Haveri, Karnataka, India",14.61658,75.634153,SUCCESS,HIGH,osm-nominatim,"Ranebennur, Ranebennuru taluk, Haveri, Karnataka, 581115, India",High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['ranebennur'] (+8),,2026-09-06T06:19:35.482191+00:00
tc-110,"KVG ITC, Bhagamandala",Madikeri,Kodagu,,"Madikeri, Kodagu, Karnataka, India",12.42149,75.738754,SUCCESS,HIGH,osm-nominatim,"Madikeri, Madikeri taluku, Kodagu, Karnataka, 571201, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['madikeri'] (+8); Plausible POI (/town) (+5),,2026-09-06T06:19:35.482332+00:00
tc-111,Kalpaturu Industrial Training Centre Kushal Nagar,Somwarpet Taluk,Kodagu,,"Somwarpet, Kodagu, Karnataka, India",12.597188,75.846687,SUCCESS,HIGH,osm-nominatim,"Somwarpet, Somawarpet taluk, Kodagu, Karnataka, 571236, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['somwarpet'] (+8); Plausible POI (place/town) (+5),,2026-09-06T06:19:35.482494+00:00
tc-112,Noorie Industrial Training Centre Andersopet,"Andersopet, K.G.F.-563113",Kolar,,"563113, Kolar, Karnataka, India",,,AMBIGUOUS,AMBIGUOUS,osm-nominatim,"State Bank of India, NH75, Maderahalli, Kolar taluk, Kolar, Karnataka, 563133, India",Multiple distant candidates (>25km) in PASS_4_PIN,AMBIGUOUS,
tc-113,Kengal Hanumantaiah Industrial Training Centre Bethamangala,Bethamangala,Kolar,,"Bethamangala, Kolar, Karnataka, India",13.005398,78.330362,SUCCESS,HIGH,osm-nominatim,"Bethamangala, Kolar Gold Field taluk, Kolar, Karnataka, 563116, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['bethamangala'] (+8); Plausible POI (/town) (+5),,2026-09-06T06:19:35.482954+00:00
tc-114,Veera Neelambika Industrial Training Institute,"Shastri Nagar, Agalkere Po. Gangavathi Tq. Koppal Dt.",Koppal,,"Shastri Nagar, Koppal, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-115,Sri Jagadguru Tontadarya I.T.I Mandalagiri,"Mandalagiri, Taluk: Yalaburga",Koppal,,"Mandalagiri, Koppal, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-116,"Sri Adichunchanagiri Private I.T.I, Melukote","Melukote, Pandavapura, Mandya Dist.-571431",Mandya,,"Melukote, Mandya, Karnataka, India",12.662405,76.649649,SUCCESS,HIGH,osm-nominatim,"Melukote, Pandavapura taluk, Mandya, Karnataka, 571431, India","High confidence match (Score 105.0): Country=India (+25); State=Karnataka (+25); District matched (+20); PIN match 571431 (+15); Strong token overlap ['pandavapura', 'mandya', 'melukote'] (+15); Plausible POI (place/town) (+5)",,2026-09-06T06:19:35.483476+00:00
tc-117,Sri Ranganatha I.T.C B.R Koppalu,"Baburayana Koppalu, Srirangapatna Tq",Mandya,,"Baburayana Koppalu, Mandya, Karnataka, India",12.428373,76.702519,SUCCESS,HIGH,osm-nominatim,"Baburayana Koppalu, Srirangapattana taluk, Mandya, Karnataka, 571477, India","High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['baburayana', 'koppalu'] (+8); Plausible POI (place/village) (+5)",,2026-09-06T06:19:35.483658+00:00
tc-118,Basava Industrial Training Institute Manvi,P.L.D Bank Building Near Kalmat School Manvi.,Raichur,,"P.L.D Bank Building Kalmat School Manvi, Raichur, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-119,Shakthi Nagar Industrial Training Institute,SHAKTINAGAR,Raichur,,"SHAKTINAGAR, Raichur, Karnataka, India",16.363159,77.358502,SUCCESS,HIGH,osm-nominatim,"Mohammadiya Masjid. Shaktinagar., NH167, Shaktinagara, Yadlapuru, Rayachuru taluku, Raichur, Karnataka, 584201, India",High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['shaktinagar'] (+8),,2026-09-06T06:19:37.431655+00:00
tc-120,"Hombegowda Industrail Training Centre, Kengal","Kengal, Channapatna",Ramanagara,,"Kengal, Ramanagara, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-121,SLNM Industrial Training Centre Cannapatna,"1535, Loyada Beedi Channpatna",Ramanagara,,"Loyada Beedi Channpatna, Ramanagara, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-122,Ananya Rural ITC,"Ayanur, Shimoga",Shivamogga,,"Ayanur, Shivamogga, Karnataka, India",14.01406,75.432668,SUCCESS,HIGH,osm-nominatim,"CHC, Ayanur, Sagara Road, Ayanuru, Shivamogga taluk, Shimoga, Karnataka, 577211, India","High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['shimoga', 'ayanur'] (+8)",,2026-09-06T06:19:59.314208+00:00
tc-123,Sumauka Industrial Training Centre Anandapuram,Anandapuram Sagara(T),Shivamogga,,"Anandapuram Sagara T, Shivamogga, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-124,Sri T.V. Venkataswamy Industrial Training Centre,G.B.N. Road Madhugiri,Tumakuru,,"G.B.N. Road Madhugiri, Tumakuru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-125,CSI Vocational Training Centre,PB No 101 B.H. Road,Tumakuru,,"PB B.H. Road, Tumakuru, Karnataka, India",13.335682,77.121315,SUCCESS,HIGH,osm-nominatim,"Bengaluru Honnavara Road, Kyatasandra, Tumakuru, Tumkur taluk, Tumakuru, Karnataka, 572101, India",High confidence match (Score 75.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Plausible POI (highway/primary) (+5),,2026-09-06T06:20:14.586798+00:00
tc-126,Barkur National Industrial Training Centre,"Haradi Village, barkur PO, Udupi Tq",Udupi,,"Haradi Village, Udupi, Karnataka, India",13.428944,74.720807,SUCCESS,HIGH,osm-nominatim,"Haradi, Brahmavara taluku, Udupi, Karnataka, 576213, India","High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['udupi', 'haradi'] (+8); Plausible POI (place/village) (+5)",,2026-09-06T06:20:16.203212+00:00
tc-127,"Rev. Fr. Robert Z. M. D'Souza Memorial Pvt. ITI, Nada","Nada, Padukone, Kundapura Tq.",Udupi,,"Nada, Udupi, Karnataka, India",13.74011,74.670064,SUCCESS,HIGH,osm-nominatim,"Government Higher Primary School, Kadike, Nada, NH66, Hosadu, ನಾಗೂರು, Bainduru taluku, Udupi, Karnataka, 576224, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['nada'] (+8); Plausible POI (amenity/school) (+5),,2026-09-06T06:20:18.469316+00:00
tc-128,Bharath Liberal Educational Trust ITI Dandeli,GANDHINAGAR DANDELI,Uttara Kannada,,"GANDHINAGAR DANDELI, Uttara Kannada, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-129,Mazzarello Private Industrial Training Institute kasarkod,"Upperkasarkod, Kelaginoor, Honavar",Uttara Kannada,,"Upperkasarkod, Uttara Kannada, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-130,Shree basavajyoti ITI kodekal,post- kodekal Tq - Surupur Dist Yadigiri,Yadgir,,"post- kodekal - Surupur Yadigiri, Yadgir, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-131,Charabasaveshwara Industrial Training Centre,"opposite to karnataka electrical board, shahapur",Yadgir,,"to karnataka electrical board, Yadgir, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-132,"Govt Industrial Training Institute, Davanagere (MIS GU29000048)",REQUIRES OFFICIAL SOURCE VERIFICATION,Davanagere,,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-133,"Govt ITI, Koratagere (MIS GR29001513)",REQUIRES OFFICIAL SOURCE VERIFICATION,Tumakuru,Koratagere,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-134,"Govt. ITI, BEML Nagar, KGF (MIS GU29000015)","BEML Nagar, Kolar Gold Fields - 563115",Kolar,,"BEML Nagar, Kolar, Karnataka, India",12.996576,78.238585,SUCCESS,HIGH,osm-nominatim,"BEML Nagar, Kattihalli, Bangarapet taluk, Kolar, Karnataka, 563115, India","High confidence match (Score 98.0): Country=India (+25); State=Karnataka (+25); District matched (+20); PIN match 563115 (+15); Token overlap ['kolar', 'beml'] (+8); Plausible POI (place/locality) (+5)",,2026-09-06T06:21:19.686761+00:00
tc-135,"Govt Industrial Training Institute, Anekal Nagara (MIS GU29001424)",REQUIRES OFFICIAL SOURCE VERIFICATION,Bengaluru Urban,Anekal,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-136,"Govt. ITI, Beguru (MIS GR29000925)",REQUIRES OFFICIAL SOURCE VERIFICATION,Mysuru,Nanjangud,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-137,"Government Industrial Training Institute, Maddur (MIS GR29000400)",REQUIRES OFFICIAL SOURCE VERIFICATION,Mandya,Maddur,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-138,"Govt ITI, Chamarajanagar (MIS GU29001514)",REQUIRES OFFICIAL SOURCE VERIFICATION,Chamarajanagar,,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-139,"Government Industrial Training Institute, N R Mohalla, Mysore-07 (MIS GU29000053)","N R Mohalla, Mysuru - 570007",Mysuru,,"N R Mohalla, Mysuru, Karnataka, India",12.326871,76.665268,SUCCESS,HIGH,osm-nominatim,"N.R. Mohalla, Narasimharaja Mohalla, Mysuru, Mysuru taluk, Mysuru District, Karnataka, 570001, India","High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['mysuru', 'mohalla'] (+8)",,2026-09-06T06:21:22.258209+00:00
tc-140,"Govt Industrial Training Institute, Malavalli (MIS GU29000158)",REQUIRES OFFICIAL SOURCE VERIFICATION,Mandya,Malavalli,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
